Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,154817,Digital Energy Corp,Consultant,Demonstration,Batteries,Charging & management,,Zinc-Air Battery Demonstration Project 1,"c/o Jon Lilian 25 Chapel Street, Suite 902",Brooklyn,New York,11201,http://www.digitalenergyny.com/,3/10/20,450000
12/8/20,87330,"Gaia Power Technologies, Inc.",Early Stage Company,Demonstration,Batteries,,,Demonstration of Commercial Energy Storage Device at Rural Utility Substation,116 John St Apt 2320,New York,NY,10038,http://www.gaiapower.com/,5/21/07,674713
12/8/20,85756,"Transportation Power, Inc.",Corporate,Demonstration,Batteries,,,Subway Traction Energy Storage,2415 Auto Park Way,Escondido,CA,92029,http://www.transpowerusa.com/,9/17/15,684497
12/8/20,87153,New York Power Authority,Utility,Demonstration,Batteries,,,NAS Battery Demonstration Project,123 Main St,White Plains,NY,10601,http://www.nypa.gov,8/10/05,925000
12/8/20,115794,Cadenza Innovation,Early Stage Company,Demonstration,Batteries,"Dry cells (e.g. zinc-carbon, lithium iron phosphate)",,Field Demonstration of the Cadenza Super-Cell Storage System,15 River Road Suite 15B,Wilton,CT,6801,http://www.cadenzainnovation.com,5/1/18,1000000
12/8/20,84809,Electrovaya Company,Corporate,Demonstration,Batteries,,,Demonstration of a Utility-Scale Transportable Energy Storage System,6688 Kitimat Road,Mississauga,Ontario,,http://www.electrovaya.com,1/6/16,1324210
12/8/20,104029,Metropolitan Transportation Authority,Municipality / Government Agency,Demonstration,Batteries,Charging & management,,The New York City Transit Brooklyn Substation Energy Storage System,"2 Broadway, Mezzanine Level",New York,NY,10004,http://www.mta.info/,8/2/18,1700000
12/8/20,86133,"Gaia Power Technologies, Inc.",Early Stage Company,Product Development,Batteries,,,Demonstration of Distributed Energy Management System,116 John St Apt 2320,New York,NY,10038,http://www.gaiapower.com/,10/26/07,13141
12/8/20,75553,IBD Associates,Consultant,Product Development,Batteries,,,"Distributed Electricity Storage Demonstration :Cost Benefit Analysis, Market",54 Pine St Apt 3,New York,NY,10005,http://www.ibd-associates.com,12/12/02,22000
12/8/20,75303,"Reveo, Inc",Corporate,Product Development,Batteries,,,Solid-state Electrolyte for Zinc-Air Fuel Cell,3 Westchester Plz Ste 237,Elmsford,NY,10523,https://reveo.com/,10/23/99,49379
12/8/20,85404,Research Foundation of SUNY (Buffalo),University,Product Development,Batteries,,,NY-BEST Market-Driven Research,P.O. Box 9,Albany,NY,12201-0009,https://www.rfsuny.org/,4/25/11,70426
12/8/20,84954,NOHMS Technologies,Early Stage Company,Product Development,Batteries,,,Feasibility Study: Technology and the Market for High-Temp Lithium-ion Batteries,"1200 Ridgeway Ave, Ste. 110",Rochester,NY,14615,http://www.nohms.com/,10/24/14,75000
12/8/20,84638,"Impact Technologies, LLC",Corporate,Product Development,Batteries,,,Prognostics and Health Management of Batteries,200 Canal View Blvd Ste 300,Rochester,NY,14623,http://www.lockheedmartin.com,4/15/11,85734
12/8/20,84800,Primet Precision Materials Inc.,Early Stage Company,Product Development,Batteries,,,High Rate Lithium-ion Anode Material,950 Danby Rd Ste 90,Ithaca,NY,14850,http://www.primetprecision.com,8/30/12,87524
12/8/20,84623,"Dayton T. Brown, Inc.",Consultant,Product Development,Batteries,,,Feasibility Study of On-Car Regenerative Braking Systems for Electric Rail,1175 Church St,Bohemia,NY,11716,https://www.dtb.com/,9/22/10,92935
12/8/20,75364,"IBD Associates, Inc., dba Gaia Power Tec",Consultant,Product Development,Batteries,,,Distributed Load Leveling Device:Distributed Load Leveling Device with Utility,54 Pine St Apt 3,New York,NY,10005,http://www.ibd-associates.com,10/7/02,96804
12/8/20,84941,Rensselaer Polytechnic Institute,University,Product Development,Batteries,,,Develop a working prototype of sulfur cathodes for Lithium-Sulfur batteries usin,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,2/3/15,106075
12/8/20,85401,Hollingsworth & Vose Company,Early Stage Company,Product Development,Batteries,,,Advanced Separators for Hybrid Electric Vehicle Microhybrid Battery Applications,Country Road 29,Greenwich,NY,12834,https://www.hollingsworth-vose.com/,3/31/11,119965
12/8/20,84650,Research Foundation of SUNY,University,Product Development,Batteries,,,Stationary Grid Scale Energy Storage,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,9/19/12,128683
12/8/20,75568,"Gaia Power Technologies, Inc.",Early Stage Company,Product Development,Batteries,,,Using Storage to Improve the Economics of Distributed Renewables.,116 John St Apt 2320,New York,NY,10038,http://www.gaiapower.com/,3/6/07,141297
12/8/20,85065,NOHMS Technologies,Early Stage Company,Product Development,Batteries,,,Follow-on Development Work from NOHMs Technologies' Previous Feasibility Study,"1200 Ridgeway Ave, Ste. 110",Rochester,NY,14615,http://www.nohms.com/,10/6/15,149994
12/8/20,85400,"General Motors, LLC",Corporate,Product Development,Batteries,,,Development of Materials for Improved Lithium-Ion Battery Electrodes for EVs,PO Box 33170,Detroit,MI,48232,http://www.gm.com/content/gmcom/home.html,2/1/11,150922
12/8/20,84639,The Research Foundation of SUNY at Bing,University,Product Development,Batteries,,,New York Consortium for Stationary Grid Scale Energy Storage,85 Murray Hill Rd,Vestal,NY,13850,http://research.binghamton.edu/researchfoundation.php,3/1/11,152890
12/8/20,84642,Cornell University,University,Product Development,Batteries,,,Development of Non-Flammable Battery Electrolytes with Improved Temperature and,341 Pine Tree Road,Ithaca,New York,14850,http://www.cornell.edu/,5/25/11,178866
12/8/20,84647,The Research Foundation of SUNY at Bing,University,Product Development,Batteries,,,Lithium-Air Storage Systems,85 Murray Hill Rd,Vestal,NY,13850,http://research.binghamton.edu/researchfoundation.php,3/8/11,185850
12/8/20,84643,Brookhaven National Lab,Laboratory / Research Center,Product Development,Batteries,,,New York Consortium for Stationary Grid Scale Energy Storage,PO Box 5000,Upton,NY,11973,https://www.bnl.gov/world/,3/20/12,187774
12/8/20,84715,Battery Energy Storage System,Early Stage Company,Product Development,Batteries,,,Hierarchical Si-Based Anodes for Lithium-ion Batteries,"291 River St #318,",Troy,NY,12180,http://www.bess-tech.com/,2/13/12,195324
12/8/20,84648,Research Foundation of The City,University,Product Development,Batteries,,,Feasibility Study: Nickel-Zinc Battery for EV and HEV Vehicles,230 West 41st Street,New York,NY,10036,https://www.ccny.cuny.edu/rf,8/16/11,196526
12/8/20,84644,Rensselaer Polytechnic Institute,University,Product Development,Batteries,,,Next Generation High C-Rate Lithium-Ion Rechargeable Batteries,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,11/15/10,199425
12/8/20,87391,Cerion Enterprises,Laboratory / Research Center,Product Development,Batteries,,,NY-BEST:Nanoparticle Lithium-Cerium Compound Development for Battery Application,6100 Niagara Falls Blvd,Niagara Falls,NY,14304,,9/29/10,199967
12/8/20,113927,Eonix,Early Stage Company,Product Development,Batteries,"Dry cells (e.g. zinc-carbon, lithium iron phosphate)",,High-Voltage Electrolytes for Ultracapacitors,90 State St Suite 700,Albany,NY,12207,http://www.eonixenergy.com,3/22/19,200000
12/8/20,85030,"Applied Power Systems, Inc.",Early Stage Company,Product Development,Batteries,,,Multi-Chemistry Battery Charger,124 Charlotte Ave,Hicksville,New York,11801,http://www.appliedps.com,3/15/16,203738
12/8/20,84841,Battery Energy Storage System,Early Stage Company,Product Development,Batteries,,,Graphene-based Anodes,"291 River St #318,",Troy,NY,12180,http://www.bess-tech.com/,7/18/13,218000
12/8/20,75204,Electrovaya Company,Corporate,Product Development,Batteries,,,Development and Demonstration of Long-Range Zero Emission TORO Workman Vehicle,6688 Kitimat Road,Mississauga,Ontario,,http://www.electrovaya.com,3/17/08,245821
12/8/20,84845,NOHMS Technologies,Early Stage Company,Product Development,Batteries,,,Lithium-Sulfur Battery Prototype,"1200 Ridgeway Ave, Ste. 110",Rochester,NY,14615,http://www.nohms.com/,11/5/13,246788
12/8/20,85341,The Paper Battery Company,Early Stage Company,Product Development,Batteries,,,Supercapacitor and Battery Product Development,165 Jordan Rd,Troy,NY,12180,http://www.pbctechco.com,12/29/09,249442
12/8/20,84997,Lionano Inc.,Early Stage Company,Product Development,Batteries,,,High-Performance Anode Material for Li-Ion Battery,"259 East Ave., 120 Baker Lab",Ithaca,NY,14853,http://www.lionano.com,11/5/14,249784
12/8/20,85587,"Urban Electric Power, LLC",Corporate,Product Development,Batteries,,,Development and Testing of an Advanced Battery Management System,401 N Middletown Rd Bldg 155,Pearl River,NY,10965,http://www.urbanelectricpower.com,10/12/12,249847
12/8/20,84844,EOS Energy Storage,Early Stage Company,Product Development,Batteries,,,Development and Description of Eos' 5-kW Zinc-Air Battery,358 Timothy Ln,Ontario,NY,14519,http://www.eosenergystorage.com/,7/18/13,249995
12/8/20,85001,The Raymond Corporation,Corporate,Product Development,Batteries,,,NY-BEST Bench to Prototype solicitation. Integrate and test a high-performance l,22 S Canal St,Greene,NY,13778,https://www.raymondcorp.com/,12/22/14,250000
12/8/20,85031,"Varta Microbattery, Inc.",Corporate,Product Development,Batteries,,,Varta Microbattery Advanced Battery Storage System,555 Theodore Fremd Ave,Rye,NY,10580,https://www.varta-storage.com/?lang=en,11/25/15,250000
12/8/20,85028,"Urban Electric Power, LLC",Corporate,Product Development,Batteries,,,Scaling Zinc Manganese Dioxide Battery Capacity and Production,401 N Middletown Rd Bldg 155,Pearl River,NY,10965,http://www.urbanelectricpower.com,11/23/16,299898
12/8/20,85339,EnerVault Corporation,Early Stage Company,Product Development,Batteries,,,"Evaluate the Fe/Cr flow battery chemistry and design, build and test BOP for lar",1111 W El Camino Real # 109-332,Sunnyvale,CA,94087,https://enervault.com/,9/7/10,300000
12/8/20,110941,SRS HOLDINGS LLC,Early Stage Company,Product Development,Batteries,"Dry cells (e.g. zinc-carbon, lithium iron phosphate)",,"Low-Cost, High-Performance Ceramic Composite Separators for Lithium-ion Battery","Incubator Works, RM 119 200 North Main Street",Alfred,NY,14802,https://srsholding.com/,3/28/19,300000
12/8/20,84784,Primet Precision Materials Inc.,Early Stage Company,Product Development,Batteries,,,"A Continuous, Energy-Efficient Battery Materials Process",950 Danby Rd Ste 90,Ithaca,NY,14850,http://www.primetprecision.com,9/7/12,372814
12/8/20,85403,"Ultra Life Batteries, Inc.",Corporate,Product Development,Batteries,,,"Multi-element power generation and storage project, Ultralife with RPI, Electric",2000 Technology Pkwy,Newark,NY,14513,https://www.ultralifecorporation.com/ecommerce/,2/4/11,393362
12/8/20,85717,"BAE Systems Controls, Inc.",Corporate,Product Development,Batteries,,,Developing Analysis for Used Batteries to Categorize their Ability,600 Main Street,Johnson City,NY,13790,https://www.baesystems.com/en/home,3/15/16,415000
12/8/20,110998,Dagmy Motors,Early Stage Company,Product Development,Batteries,,,NOVEL BATTERY SYSTEM FOR INCREASED SAFETY & CYCLE LIFE AND REDUCED COST,1620 E. 22nd Street,Brooklyn,NY,11210,https://www.dagmymotors.com/#landing,3/15/19,497873
12/8/20,84905,"Eos Energy Storage, LLC",Early Stage Company,Product Development,Batteries,,,Rapid Prototyping and Production Scale-Up to Commercialize Eos Zinc Hybrid Ca,358 Timothy Ln,Ontario,NY,14519,http://www.eosenergystorage.com/,4/25/14,498844
12/8/20,84739,NOHMS Technologies,Early Stage Company,Product Development,Batteries,,,Manufacturing Battery Materials,"1200 Ridgeway Ave, Ste. 110",Rochester,NY,14615,http://www.nohms.com/,4/3/12,499970
12/8/20,85135,"Cadenza Innovation, LLC",Early Stage Company,Product Development,Batteries,,,To develop a  150 amp-hour (Ah) lithium-ion (Li-ion) cells suitable for deployme,15 River Road Suite 15B,Wilton,CT,6801,http://www.cadenzainnovation.com,12/8/15,500000
12/8/20,75365,"Gaia Power Technologies, Inc.",Early Stage Company,Product Development,Batteries,,,Distributed Load Leveling Device with Utility Control,116 John St Apt 2320,New York,NY,10038,http://www.gaiapower.com/,10/7/03,500297
12/8/20,121234,NOHMs Technologies,Early Stage Company,Product Development,Batteries,"Dry cells (e.g. zinc-carbon, lithium iron phosphate)",,Abuse Tolerant Electrolytes for Electrochemical Storage,"1200 Ridgeway Ave, Ste. 110",Rochester,NY,14615,http://www.nohms.com/,2/20/19,750000
12/8/20,151394,Alpha En Corporation,Early Stage Company,Product Development,Batteries,,,High Purity Thin Film Lithium Metal Anodes for Beyond Lithium-ion Energy Storage,28 Wells Ave Bldg #3 - Fl. 2,Yonkers,NY,10701,https://alpha-encorp.com/,6/19/19,999608
12/8/20,84655,Research Foundation of The City,University,Product Development,Batteries,,,"Flow-Assisted, Nickel-Zinc Battery for Stationary Applications",230 West 41st Street,New York,NY,10036,https://www.ccny.cuny.edu/rf,3/30/11,1000000
12/8/20,85615,Urban Electric Power Inc,Corporate,Product Development,Batteries,,,Development and Demonstration of a 1MWh System for Peak-Shaving and Demand Charg,401 N Middletown Rd Bldg 155,Pearl River,NY,10965,http://www.urbanelectricpower.com,12/30/13,1000000
12/8/20,85026,Research Foundation of The City,University,Product Development,Batteries,"Dry cells (e.g. zinc-carbon, lithium iron phosphate)",,Deep Cycling High-Energy Density Zn-Birnessite Battery for Grid Storage,230 West 41st Street,New York,NY,10036,https://www.ccny.cuny.edu/rf,12/30/15,1363861
12/8/20,84646,General Electric Corporate Research & D,Corporate,Product Development,Batteries,,,Enabling Technologies for Next Generation Sodium Metal Halide Batteries,1 Research Circle,Niskayuna,NY,12309,http://www.geglobalresearch.com/,1/11/12,2499610
12/8/20,84840,Research Foundation of CUNY,University,Research Study,Batteries,,,Sustainable CUNY in Partnership with GE shall evaluate the technical feasibility,535 E 80th St,New York,NY,10075,http://www2.cuny.edu/,10/28/13,7084
12/8/20,85378,Premium Power Corporation,Early Stage Company,Research Study,Batteries,,,Energy Storage to Fast-Charge Electric Vehicles,87 Concord St,North Reading,MA,1864,http://www.premiumpower.com,12/31/10,7905
12/8/20,85412,Research Foundation of SUNY,University,Research Study,Batteries,,,Grid-Storage Market Analysis for NY-BEST,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,6/9/10,12304
12/8/20,85380,AEYCH LLC,Early Stage Company,Research Study,Batteries,,,Electric Transportation Energy Storage,1019 Gabriella Ave,Endicott,NY,13760,http://www.aeych.com/,4/2/10,30000
12/8/20,84839,Rensselaer Polytechnic Institute,University,Research Study,Batteries,,,Biomimetic Redox Catalysts,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,3/25/13,50000
12/8/20,74163,"Energetics, Incorporated",Corporate,Research Study,Batteries,,,Battery Storage for DCFC Feasibility Study,7067 Columbia Gateway Drive,Columbia,MD,21046,http://www.energetics.com,5/20/15,72529
12/8/20,74166,NYC & Lower Hudson Valley Clean Communit,Other,Research Study,Batteries,,,Developing a Business Model for Used EV Traction Battery Packs,"59 Maiden Lane, 35th Floor",New York,NY,10038,https://www.nycservice.org/organizations/814,10/7/14,74529
12/8/20,166793,"The Research Foundation for SUNY, University at Albany",University,Research Study,Batteries,Charging & management,,Control of Grid Interface Inverters for Distributed Power System Stabilization,1400 Washington Avenue Msc 100a,Albany,NY,12222,http://www.rfsuny.org/,5/23/19,84500
12/8/20,84861,"Steven Winter Associates, Inc.",Consultant,Research Study,Batteries,,,Energy Self-Optimization for Large Commercial Buildings and Campuses,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,10/28/13,101152
12/8/20,85371,The Research Foundation for the State,University,Research Study,Batteries,,,Northeastern Chemical Energy Storage Center (NOCESC),P.O. Box 9,Albany,NY,12201,https://www.rfsuny.org/,3/1/11,250000
12/8/20,92282,CUNY City College,University,Research Study,Batteries,"Dry cells (e.g. zinc-carbon, lithium iron phosphate)",,Enabling a High Performing Grid through Recuperation of Rail Regenerative Energy,160 Convent Avenue,New York,NY,10031,https://www.ccny.cuny.edu/,10/25/18,278675
12/8/20,188370,DNV GL,Corporate,Research Study,Batteries,Charging & management,,Control Testing for Behind-the-Meter ESS Grid Backfeed Prevention,67 South Bedford St.,Burlington,MA,1803,https://www.dnvgl.com/,1/17/20,300000
12/8/20,109714,Adirondack Center for Loon Conservation,Other,Research Study,Biodiversity,,,Loons: monitor biotic mercury,15 Broadway,Saranac Lake,NY,12983,https://www.adkloon.org/,6/6/17,207030
12/8/20,110207,"Sweetwater Energy, Inc.",Early Stage Company,Demonstration,Biofuel,,,Cellulosic Sugar as an Alternative to Petroleum,"1131 W Ridge Road, Parking Lot 61",Rochester,NY,14615,https://www.sweetwater.us/,7/2/14,2500000
12/8/20,87253,United Environment & Energy LLC,Early Stage Company,Product Development,Biofuel,,,Biodiesel Production Based on Waste Cooking Oils and Heterogeneous Catalysts,111 Ridge Rd,Horseheads,NY,14845,http://unitedee.com/,3/3/06,232000
12/8/20,85177,Hilliard Corp.,Corporate,Product Development,Biofuel,,,Microporous Ceramic Composite Membrane for Biofuels Production,100 W 4th St,Elmira,NY,14901,http://www.hilliardcorp.com,10/12/07,244214
12/8/20,86169,"Thermex-Thermatron, Inc.",Early Stage Company,Product Development,Biofuel,,,Hemicellulose Extraction from Woody Biomass and Conversion to Fermantation Sugar,10501 Bunsen Way Ste 102,Louisville,KY,40299,https://thermex-thermatron.com/,2/12/08,249761
12/8/20,86309,United Environment & Energy LLC,Early Stage Company,Product Development,Biofuel,,,Development of a Reactor for High Efficiency Biodiesel Production,111 Ridge Rd,Horseheads,NY,14845,http://unitedee.com/,9/12/08,249999
12/8/20,84749,Research Foundation of SUNY,University,Product Development,Biofuel,ethanol,,SEPARATION PROCESSES OF HYDROLYZATES FOR ETHANOL PRODUCTION FROM SORGHUM AND OTH,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,4/3/12,264624
12/8/20,85172,"CRC Development, LLC",Early Stage Company,Product Development,Biofuel,Ethanol,,Cellulosic Ethanol Pilot Production Facility,364 41st St Fl 2,Oakland,CA,94609,https://www.crcdevco.com/,8/3/07,1779243
12/8/20,110144,Mascoma Corp,Corporate,Product Development,Biofuel,Ethanol,,Cellulosic Ethanol Pilot Production Facility,161 1st St,Cambridge,MA,2142,https://www.mascoma.com/,10/26/07,28616800
12/8/20,86985,"ENTRIX, Inc.",Consultant,Research Study,Biofuel,,,Feasibility Study for Potential Biodiesel Industry in NY,10 Corporate Cir,New Castle,DE,19720,https://www.cardno.com/,4/2/03,421438
12/8/20,87337,Lockheed Martin Systems Integration-Owego,Corporate,Demonstration,Biomass,,,Biomass Steam Generation Facility,1801 State Route 17C,Owego,NY,13827,http://www.lockheedmartin.com,4/16/07,250000
12/8/20,109952,Troy Boiler Works,Corporate,Product Development,Biomass,,,Development of an Unconventional Wood Chip Dryer,2800 7th Ave,Troy,NY,12180,http://troyboilerworks.com/,1/9/13,213760
12/8/20,84619,SUNY ESF,University,Product Development,Biomass,,,Development and Deployment of a Short Rotation Woody Crops (SRWC) Harvesting Sys,1 Forestry Dr,Syracuse,NY,13210,http://www.esf.edu/,6/28/11,246906
12/8/20,85266,Double A Vineyards,Early Stage Company,Product Development,Biomass,,,Establishment of a Commercial Willow Biomass Crop Nursery in New York State,10277 Christy Rd,Fredonia,NY,14063,http://www.doubleavineyards.com,7/18/06,579768
12/8/20,85235,The Research Foundation for the State,University,Product Development,Biomass,,,Biomass Systems Implementation:Salix Consortium,P.O. Box 9,Albany,NY,12201,https://www.rfsuny.org/,10/31/96,2846006
12/8/20,84836,Village of Tupper Lake,Municipality / Government Agency,Research Study,Biomass,,,Engineering study for biomass fired district energy system.,53 Park Street,Tupper Lake,NY,12986,https://www.tupperlakeny.gov,12/23/13,300000
12/8/20,109937,"Health Research, Inc.",Laboratory / Research Center,Research Study,Biomass,heaters,,Investigation of Ultrafine Particle Emissions from Advanced Biomass Heaters,"Riverview Center 150 Broadway, Suite 560",Menands,NY,12204,https://www.healthresearch.org/,9/4/15,701010
12/8/20,86350,City of Jamestown,Municipality / Government Agency,Product Development,Carbon Sequestration,,,Carbon Sequestration Geological Stratographic Test Well and Core Sample Analysis,200 E 3rd St,Jamestown,NY,14701,http://www.jamestownny.net/,11/17/08,2000000
12/8/20,86703,"Waste Management, Inc.",Corporate,Research Study,Carbon Sequestration,Carbon Capture and Storage,,Beneficial use of Methane and CO2 from Landfills,7 Bingham Street,,,,https://www.wm.com/us/en/myhome,3/6/00,26985
12/8/20,86157,Columbia University,University,Research Study,Carbon Sequestration,Carbon Capture and Storage,,Disposing of Greenhouse Gas through Mineralization Utilizing the Wollastonite De,622 W 168th St,New York,NY,10032,http://www.columbia.edu,12/27/07,88522
12/8/20,75143,Lehigh University,University,Research Study,Carbon Sequestration,Carbon Capture and Storage,,Use of Waste Carbon Dioxide Compression Heat to Improve Energy Efficiency,"Energy Research Center 
117 ATLSS Drive",Bethlehem,PA,18015,https://www.lehigh.edu/energy/,3/17/09,138492
12/8/20,85167,The Trustees of Columbia University,University,Research Study,Carbon Sequestration,Carbon Capture and Storage,,Assess the potential viability of CO2 storage in ocean sediments,615 W 131st St,New York,NY,10027,https://secretary.columbia.edu/trustees-columbia-university,12/27/07,287845
12/8/20,108903,TriCarb Consortium for Carbon Sequestrat,Laboratory / Research Center,Research Study,Carbon Sequestration,,,Geological Testing of Newark Basin in Rockland County for Carbon Sequestration,48 Springside Avenue,Poughkeepsie,NY,12603,,6/4/10,2097946
